unit,name,quantity,amount
",",13,13,13
",1                                Liter",4,4,4
",1                                g",2,2,2
",1                                kg",1,1,1
",2                                Liter",14,14,14
",2                                TL",1,1,1
",2                                g",1,1,1
",2                                kg",34,34,34
",3                                Glas",1,1,1
",3                                Kopf",1,1,1
",3                                Liter",10,10,10
",3                                Rolle(n)",1,1,1
",3                                TL, gestr.",1,1,1
",3                                g",2,2,2
",3                                kg",3,3,3
",33                                Becher",1,1,1
",33                                Bund",1,1,1
",33                                Liter",2,2,2
",33                                Pck.",1,1,1
",33                                Stange/n",1,1,1
",33                                TL",11,11,11
",33                                Tasse",3,3,3
",33                                Würfel",1,1,1
",33                                m.-großer",1,1,1
",35                                Liter",1,1,1
",38                                Liter",1,1,1
",4                                EL",1,1,1
",4                                Liter",4,4,4
",4                                TL",1,1,1
",4                                cl",1,1,1
",4                                kg",6,6,6
",6                                Glas",1,1,1
",6                                Liter",3,3,3
",6                                kg",3,3,3
",66                                TL",1,1,1
",67                                Pck.",1,1,1
",67                                Tasse",2,2,2
",7                                Liter",4,4,4
",7                                kg",1,1,1
",8                                Liter",2,2,2
",8                                cm",1,1,1
",8                                g",6,6,6
",8                                kg",1,1,1
.000                                g,24,24,24
.000                                ml,7,7,7
.050                                g,2,2,2
.080                                g,1,1,1
.100                                g,1,1,1
.200                                g,6,6,6
.200                                ml,2,2,2
.250                                g,1,1,1
.300                                g,1,1,1
.300                                ml,1,1,1
.350                                g,1,1,1
.350                                ml,1,1,1
.400                                g,2,2,2
.500                                g,8,8,8
.500                                ml,1,1,1
.750                                ml,1,1,1
.800                                g,1,1,1
Becher,435,435,435
Beet/e,8,8,8
Beutel,143,143,143
Blatt,31,31,31
Blätter,96,96,96
Bund,798,798,797
Bündel,3,3,3
Dose,415,415,415
Dose/n,119,119,119
EL,8352,8352,8344
"EL, gehäuft",642,642,641
"EL, gestr.",161,161,161
Ecke(n),18,18,18
Flasche,37,37,37
Flaschen,6,6,6
Fläschchen,32,32,32
Glas,211,211,211
Gläser,25,25,25
Halm(e),3,3,3
Handvoll,434,434,433
Knolle/n,27,27,27
Kopf,79,79,79
Kugel,48,48,48
Kugel/n,25,25,25
Kugeln,12,12,12
Kästchen,13,13,13
Köpfe,12,12,12
Körner,8,8,8
Liter,355,355,355
Msp.,299,299,298
Paar,13,13,13
Paket,63,63,63
Pck.,1376,1376,1374
Pkt.,47,47,47
Platte/n,5,5,5
Port.,37,37,37
Prise(n),1222,1222,1213
Prisen,73,73,72
Riegel,4,4,4
Ring/e,10,10,10
Rispe(n),5,5,5
Rolle(n),36,36,36
Scheibe/n,467,467,467
Schuss,209,209,207
Schälchen,13,13,13
Spritzer,147,147,144
Stange/n,179,179,179
Staude(n),6,6,6
Stiel/e,74,74,74
Stiele,85,85,85
Streifen,6,6,6
Stängel,128,128,127
Stück(e),172,172,172
TL,5047,5047,5041
"TL, gehäuft",398,398,398
"TL, gestr.",450,450,450
Tablette(n),1,1,1
Tafel,13,13,13
Tafeln,2,2,2
Tasse,133,133,133
Tasse/n,76,76,76
Teil/e,30,30,30
Topf,10,10,10
Tropfen,37,37,35
Tube/n,42,42,42
Tüte/n,106,106,106
Würfel,100,100,100
Zehe/n,578,578,578
Zweig/e,186,186,186
cl,258,258,258
cm,71,71,71
dicke,31,31,31
dl,20,20,20
dünne,13,13,13
einige,180,180,0
einige Stiele,45,45,1
etwas,1864,1864,5
evtl.,315,315,1
extra,4,4,0
g,18805,18805,18803
gr. Dose/n,34,34,34
gr. Glas,15,15,15
gr. Kopf,4,4,4
gr. Scheibe(n),15,15,15
gr. Stück(e),1,1,1
große,727,727,727
großen,1,1,1
großer,34,34,34
großes,18,18,18
halbe,19,19,19
kg,472,472,472
kl. Bund,15,15,15
kl. Dose/n,97,97,97
kl. Flasche/n,7,7,7
kl. Glas,34,34,34
kl. Kopf,27,27,27
kl. Scheibe(n),7,7,7
kl. Stange(n),6,6,6
kl. Stück(e),49,49,49
kleine,870,870,866
kleiner,115,115,115
kleines,14,14,14
m.-große,1275,1275,1275
m.-großer,43,43,43
m.-großes,51,51,51
mg,4,4,4
ml,4409,4409,4408
n. B.,2308,2308,6
nan,17154,10588,10588
viel,16,16,0
wenig,36,36,1
¼,62,62,0
¼                                Becher,2,2,0
¼                                Bund,18,18,0
¼                                EL,5,5,1
¼                                Flasche,1,1,0
¼                                Glas,3,3,0
¼                                Kopf,4,4,0
¼                                Liter,54,54,3
¼                                Pck.,1,1,0
¼                                TL,151,151,0
¼                                Tasse,9,9,0
¼                                Tube/n,2,2,0
¼                                Tüte/n,1,1,0
¼                                Würfel,2,2,0
¼                                g,3,3,3
¼                                große,1,1,0
¼                                kg,7,7,6
¼                                m.-große,2,2,0
¼                                m.-großer,1,1,0
¼                                ml,2,2,0
½                                Becher,5,5,5
½                                Bund,4,4,4
½                                Dose/n,1,1,1
½                                EL,101,101,101
"½                                EL, gehäuft",4,4,4
"½                                EL, gestr.",2,2,2
½                                Gläser,3,3,3
½                                Handvoll,1,1,1
½                                Kugel/n,1,1,1
½                                Kugeln,1,1,1
½                                Liter,74,74,74
½                                Pck.,14,14,14
½                                Prise(n),2,2,2
½                                Rolle(n),1,1,1
½                                TL,108,108,108
"½                                TL, gehäuft",3,3,3
"½                                TL, gestr.",2,2,2
½                                Tasse,1,1,1
½                                Tasse/n,11,11,11
½                                Tube/n,1,1,1
½                                Zehe/n,1,1,1
½                                cl,1,1,1
½                                dl,1,1,1
½                                g,15,15,15
½                                gr. Scheibe(n),1,1,1
½                                große,2,2,2
½                                kg,67,67,67
½                                kleine,1,1,1
½                                m.-große,1,1,1
½                                ml,1,1,1
¾,5,5,0
¾                                Becher,4,4,1
¾                                Bund,2,2,0
"¾                                EL, gestr.",1,1,0
¾                                Liter,21,21,2
¾                                Pck.,2,2,0
¾                                Stange/n,1,1,0
¾                                TL,14,14,1
¾                                Tasse,1,1,0
¾                                cl,1,1,0
¾                                g,1,1,0
¾                                große,1,1,0
¾                                kg,8,8,4
⅛,5,5,0
⅛                                Liter,21,21,0
⅛                                TL,6,6,0
